price,bedrooms,bathrooms,accommodates,parking_spaces,square_meters,pool,garden,security,pet_friendly,near_beach,location_score,property_age,description_length,num_photos,has_agency,property_type_id
2175000.0,3,1,7,2.0,134.0,0,0,0,1,1,7,10,1326,25,1,4
2175000.0,3,2,7,8.0,1118.0,1,1,1,1,1,7,10,1800,15,1,4
2180000.0,3,2,7,0.0,0.0,0,1,0,1,1,7,10,898,16,1,4
2190000.0,3,2,7,5.0,0.0,0,1,0,1,0,7,10,1418,58,1,4
2195000.0,3,2,7,9.0,0.0,0,1,0,0,1,7,10,942,15,1,4
2195000.0,1,1,3,0.0,0.0,0,0,1,0,1,7,10,967,22,1,8
2200000.0,2,2,5,4.0,0.0,1,1,1,1,1,7,10,2218,35,1,4
2200000.0,3,4,7,8.0,0.0,1,0,1,1,0,7,10,2129,41,1,4
2200000.0,4,2,9,2.0,831.0,0,1,0,1,1,9,10,867,16,1,4
2220000.0,3,2,7,6.0,0.0,1,1,1,1,1,7,10,2238,30,1,4
2250000.0,3,2,7,6.0,0.0,0,1,0,1,1,7,10,741,16,1,4
2250000.0,2,2,5,2.0,0.0,1,1,1,1,1,9,10,767,42,1,4
2250000.0,2,1,5,4.0,0.0,0,1,0,1,1,8,10,618,27,1,4
2300000.0,3,1,7,2.0,0.0,1,1,1,1,1,9,10,2261,39,1,4
2300000.0,2,2,5,4.0,181.0,1,1,0,1,1,7,10,1603,23,1,4
2300000.0,2,1,5,2.0,249.0,0,1,0,1,1,7,10,1251,22,1,4
2395000.0,2,2,5,10.0,0.0,0,1,1,1,1,7,10,1296,16,1,4
2395000.0,1,1,3,0.0,855.0,0,0,0,0,1,9,10,1097,15,1,8
2400000.0,4,3,9,5.0,0.0,0,1,0,1,1,8,10,1256,43,1,4
2400000.0,1,1,3,0.0,1870.0,0,1,0,0,1,8,10,2192,11,1,8
2400000.0,4,2,9,8.0,0.0,0,1,0,1,1,8,10,1600,26,1,4
2450000.0,2,1,5,1.0,0.0,1,1,1,1,1,9,10,1407,31,1,5
2450000.0,3,2,7,4.0,0.0,0,1,1,1,1,7,10,796,23,1,4
2450000.0,3,2,7,4.0,0.0,0,1,0,0,1,7,10,814,30,1,4
2450000.0,3,2,7,4.0,0.0,1,1,1,1,1,7,10,2254,55,1,4
2450000.0,2,2,5,1.0,0.0,0,0,0,0,1,7,10,2131,22,1,5
2480000.0,2,1,5,2.0,0.0,0,1,0,1,1,8,10,832,24,1,4
2485000.0,3,1,7,8.0,0.0,0,1,1,1,0,7,10,1518,21,1,4
2495000.0,1,1,3,0.0,810.0,1,0,1,0,1,7,10,890,21,1,8
2495000.0,3,2,7,6.0,0.0,0,1,1,1,0,7,10,1432,22,1,4
