price,bedrooms,bathrooms,accommodates,parking_spaces,square_meters,pool,garden,security,pet_friendly,near_beach,location_score,property_age,description_length,num_photos,has_agency,property_type_id,suburb,city,listing_number,listing_url
2170000.0,3,2,7,7.0,0.0,0,1,0,1,1,7,10,1608,46,1,6,Franskraal,Gansbaai,P24-116782919,https://www.property24.com/for-sale/franskraal/gansbaai/western-cape/7863/116782919
2175000.0,3,1,7,2.0,134.0,0,0,0,1,1,7,10,1326,25,1,4,Pearly Beach,Gansbaai,P24-116834173,https://www.property24.com/for-sale/pearly-beach/gansbaai/western-cape/7860/116834173
2175000.0,3,2,7,8.0,1118.0,1,1,1,1,1,7,10,1800,15,1,4,Pearly Beach,Gansbaai,P24-116807472,https://www.property24.com/for-sale/pearly-beach/gansbaai/western-cape/7860/116807472
2180000.0,3,2,7,0.0,0.0,0,1,0,1,1,7,10,898,16,1,4,De Kelders,Gansbaai,P24-115878295,https://www.property24.com/for-sale/de-kelders/gansbaai/western-cape/12117/115878295
2190000.0,3,2,7,5.0,0.0,0,1,0,1,0,7,10,1418,58,1,4,Bredasdorp,Bredasdorp,P24-116774440,https://www.property24.com/for-sale/bredasdorp/bredasdorp/western-cape/7882/116774440
2195000.0,3,2,7,9.0,0.0,0,1,0,0,1,7,10,942,15,1,4,Pearly Beach,Gansbaai,P24-116822686,https://www.property24.com/for-sale/pearly-beach/gansbaai/western-cape/7860/116822686
2195000.0,1,1,3,0.0,0.0,0,0,1,0,1,7,10,967,22,1,8,Romansbaai Estate,Gansbaai,P24-116741447,https://www.property24.com/for-sale/romansbaai-estate/gansbaai/western-cape/16042/116741447
2200000.0,2,2,5,4.0,0.0,1,1,1,1,1,7,10,2218,35,1,4,Kleinbaai,Gansbaai,P24-116656887,https://www.property24.com/for-sale/kleinbaai/gansbaai/western-cape/7865/116656887
2200000.0,3,4,7,8.0,0.0,1,0,1,1,0,7,10,2129,41,1,4,Bot River,Bot River,P24-115362549,https://www.property24.com/for-sale/bot-river/bot-river/western-cape/10872/115362549
2200000.0,4,2,9,2.0,831.0,0,1,0,1,1,9,10,867,16,1,4,Sandbaai,Hermanus,P24-105814446,https://www.property24.com/for-sale/sandbaai/hermanus/western-cape/7845/105814446
